carrera,campus,modalidad,med_2021,med_2022,med_2023,med_2024,med_2025,med_2026,d_25_26,w1
MEDICO CIRUJANO,FES ZARAGOZA,escolarizado,52.0,51.0,54.0,51.0,52.0,79.0,27.0,19.61
MEDICO CIRUJANO,FES IZTACALA,escolarizado,55.0,54.0,58.0,56.0,56.0,84.0,28.0,19.42
CIRUJANO DENTISTA,FES IZTACALA,escolarizado,48.0,47.0,50.0,49.0,49.0,74.0,25.0,19.32
CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,escolarizado,56.0,53.0,52.0,51.0,50.0,72.0,22.0,18.71
ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,escolarizado,46.0,44.5,45.0,46.0,47.0,71.0,24.0,18.58
URBANISMO,FACULTAD DE ARQUITECTURA,escolarizado,63.5,56.0,61.0,54.0,53.5,81.5,28.0,18.56
CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,escolarizado,51.0,50.0,53.0,51.0,52.0,78.0,26.0,18.39
DERECHO,FES ACATLÁN,escolarizado,48.0,46.0,47.0,47.0,47.0,68.0,21.0,18.12
DERECHO,FES ARAGÓN,escolarizado,47.0,47.0,47.0,48.0,47.0,69.0,22.0,18.07
CIRUJANO DENTISTA,FES ZARAGOZA,escolarizado,49.0,48.0,50.0,49.0,50.0,72.5,22.5,17.94
ORTESIS Y PROTESIS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,escolarizado,,,,,53.0,71.5,18.5,17.72
RELACIONES INTERNACIONALES,FES ARAGÓN,escolarizado,50.0,51.0,51.0,51.0,51.0,74.0,23.0,17.65
RELACIONES INTERNACIONALES,FES ACATLÁN,escolarizado,50.0,53.0,53.0,53.0,52.0,76.0,24.0,17.54
ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,escolarizado,52.0,51.0,,51.0,51.0,74.0,23.0,17.54
ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,escolarizado,,,47.0,46.0,46.0,66.0,20.0,17.14
INGENIERIA PETROLERA,FACULTAD DE INGENIERÍA,escolarizado,51.0,50.0,49.0,48.0,51.0,72.0,21.0,17.13
RELACIONES INTERNACIONALES,FES ACATLÁN,abierta,56.0,51.0,50.0,51.0,51.0,68.0,17.0,16.97
CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,abierta,56.0,56.0,53.0,59.0,56.0,74.0,18.0,16.63
NUTRIOLOGIA,FES ZARAGOZA,escolarizado,49.0,47.0,49.0,46.0,47.0,66.0,19.0,16.61
GEOGRAFIA,FACULTAD DE FILOSOFÍA Y LETRAS,escolarizado,57.0,56.0,53.0,57.0,56.0,79.0,23.0,16.5
ENFERMERIA Y OBSTETRICIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,escolarizado,,,47.0,44.0,44.0,62.0,18.0,16.39
ENFERMERIA,FES IZTACALA,escolarizado,45.0,44.0,47.0,45.0,45.0,63.0,18.0,16.34
ENFERMERIA,TLAXCALA,escolarizado,,,44.0,45.0,41.5,60.0,18.5,16.17
