carrera,campus,modalidad,umbral_2026,umbral_historico_min,anio_historico_min,umbral_final,fuente_umbral,presentaron_2026,pasaron_2026,convocados_examen_control,oferta_2026,seleccionados_2026
ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,escolarizado,108,87.0,2021.0,87,2021,5958,429,2111,390.0,448.0
DERECHO,FACULTAD DE DERECHO,escolarizado,105,82.0,2022.0,82,2022,4935,578,2089,586.0,606.0
CONTADURIA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,escolarizado,104,80.0,2021.0,80,2021,4389,567,2060,580.0,587.0
MEDICO CIRUJANO,FACULTAD DE MEDICINA,escolarizado,117,111.0,2021.0,111,2021,13144,271,1701,176.0,279.0
PSICOLOGIA,FES IZTACALA,suayed,85,60.0,2021.0,60,2021,2520,578,1423,600.0,612.0
DERECHO,FES ARAGÓN,escolarizado,93,63.0,2021.0,63,2021,2477,541,1416,249.0,554.0
MEDICO CIRUJANO,FES IZTACALA,escolarizado,115,105.0,2021.0,105,2021,5521,198,1260,100.0,205.0
ARQUITECTURA,FACULTAD DE ARQUITECTURA,escolarizado,108,90.0,2022.0,90,2022,3939,266,1168,250.0,276.0
DERECHO,FACULTAD DE DERECHO,suayed,83,50.0,2024.0,50,2024,1531,436,1136,440.0,454.0
ECONOMIA,FACULTAD DE ECONOMÍA,escolarizado,96,68.0,2023.0,68,2023,1635,468,1127,475.0,482.0
CIRUJANO DENTISTA,FES IZTACALA,escolarizado,109,82.0,2021.0,82,2021,2516,179,1076,148.0,186.0
CIRUJANO DENTISTA,FES ZARAGOZA,escolarizado,109,78.0,2021.0,78,2021,2292,170,1042,125.0,174.0
CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,escolarizado,112,90.0,2021.0,90,2021,2497,161,969,115.0,166.0
DERECHO,FES ACATLÁN,escolarizado,87,62.0,2023.0,62,2023,1623,464,934,199.0,471.0
ENFERMERIA,FES ZARAGOZA,escolarizado,103,74.0,2022.0,74,2022,2405,169,871,170.0,174.0
MEDICO CIRUJANO,FES ZARAGOZA,escolarizado,117,106.0,2021.0,106,2021,4268,70,775,50.0,71.0
PSICOLOGIA,FES IZTACALA,escolarizado,104,80.0,2021.0,80,2021,2126,162,673,110.0,168.0
CONTADURIA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,suayed,101,76.0,2024.0,76,2024,1574,195,667,185.0,202.0
MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,escolarizado,113,99.0,2021.0,99,2021,3403,122,656,85.0,126.0
