carrera,campus,modalidad,min_2021,min_2022,min_2023,min_2024,min_2025,min_2026,inc_25_26,aspirantes_2026
DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,TLAXCALA,escolarizado,,,40.0,45.0,52.0,96.0,44,6
PSICOLOGIA,TLAXCALA,escolarizado,,,55.0,60.0,50.0,92.0,42,82
PEDAGOGIA,FACULTAD DE FILOSOFÍA Y LETRAS,abierta,62.0,64.0,63.0,70.0,68.0,101.0,33,1099
ENFERMERIA,TLAXCALA,escolarizado,,,50.0,60.0,56.0,87.0,31,100
FISIOTERAPIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,escolarizado,69.0,68.0,62.0,60.0,61.0,89.0,28,465
INGENIERIA DE MINAS Y METALURGIA,FACULTAD DE INGENIERÍA,escolarizado,85.0,80.0,72.0,71.0,62.0,90.0,28,137
ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,escolarizado,73.0,65.0,61.0,54.0,55.0,82.0,27,96
INGENIERIA PETROLERA,FACULTAD DE INGENIERÍA,escolarizado,72.0,61.0,59.0,70.0,72.0,98.0,26,531
ENFERMERIA,FES IZTACALA,escolarizado,73.0,74.0,82.0,76.0,77.0,102.0,25,1857
PEDAGOGIA,FES ACATLÁN,escolarizado,71.0,68.0,73.0,69.0,67.0,92.0,25,1012
PSICOLOGIA,FES IZTACALA,suayed,60.0,62.0,63.0,62.0,60.0,85.0,25,3738
CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,abierta,55.0,60.0,55.0,65.0,66.0,90.0,24,358
COMUNICACION Y PERIODISMO,FES ARAGÓN,escolarizado,76.0,69.0,63.0,61.0,64.0,88.0,24,1175
ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,escolarizado,,,80.0,79.0,75.0,99.0,24,1477
ENFERMERIA,FES ZARAGOZA,escolarizado,77.0,74.0,83.0,78.0,79.0,103.0,24,2841
ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,abierta,75.0,76.0,67.0,76.0,78.0,101.0,23,906
ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,suayed,78.0,76.0,74.0,73.0,75.0,98.0,23,2097
