carrera,campus,modalidad,min_2021,min_2022,min_2023,min_2024,min_2025,min_2026,min_control,sel_2021,sel_2022,sel_2023,sel_2024,sel_2025,sel_2026,sel_control,inc_25_26
DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,TLAXCALA,escolarizado,,,40.0,45.0,52.0,96.0,0.0,,,2.0,0.0,3.0,1.0,0.0,44
PSICOLOGIA,TLAXCALA,escolarizado,,,55.0,60.0,50.0,92.0,48.0,,,20.0,16.0,28.0,8.0,15.0,42
PEDAGOGIA,FACULTAD DE FILOSOFÍA Y LETRAS,abierta,62.0,64.0,63.0,70.0,68.0,101.0,60.0,54.0,53.0,63.0,50.0,51.0,51.0,87.0,33
ENFERMERIA,TLAXCALA,escolarizado,,,50.0,60.0,56.0,87.0,40.0,,,20.0,17.0,19.0,20.0,19.0,31
FISIOTERAPIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,escolarizado,69.0,68.0,62.0,60.0,61.0,89.0,46.0,67.0,59.0,67.0,77.0,68.0,68.0,78.0,28
INGENIERIA DE MINAS Y METALURGIA,FACULTAD DE INGENIERÍA,escolarizado,85.0,80.0,72.0,71.0,62.0,90.0,53.0,24.0,25.0,25.0,26.0,27.0,24.0,24.0,28
ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,escolarizado,73.0,65.0,61.0,54.0,55.0,82.0,48.0,15.0,15.0,21.0,16.0,16.0,15.0,18.0,27
INGENIERIA PETROLERA,FACULTAD DE INGENIERÍA,escolarizado,72.0,61.0,59.0,70.0,72.0,98.0,61.0,64.0,90.0,147.0,63.0,63.0,62.0,63.0,26
ENFERMERIA,FES IZTACALA,escolarizado,73.0,74.0,82.0,76.0,77.0,102.0,50.0,145.0,134.0,131.0,136.0,132.0,165.0,168.0,25
PEDAGOGIA,FES ACATLÁN,escolarizado,71.0,68.0,73.0,69.0,67.0,92.0,48.0,87.0,88.0,85.0,91.0,91.0,86.0,114.0,25
PSICOLOGIA,FES IZTACALA,suayed,60.0,62.0,63.0,62.0,60.0,85.0,46.0,634.0,605.0,606.0,600.0,644.0,612.0,619.0,25
CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,abierta,55.0,60.0,55.0,65.0,66.0,90.0,53.0,117.0,94.0,87.0,85.0,87.0,86.0,88.0,24
COMUNICACION Y PERIODISMO,FES ARAGÓN,escolarizado,76.0,69.0,63.0,61.0,64.0,88.0,55.0,149.0,255.0,309.0,294.0,274.0,243.0,248.0,24
ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,escolarizado,,,80.0,79.0,75.0,99.0,53.0,,,135.0,131.0,161.0,165.0,171.0,24
ENFERMERIA,FES ZARAGOZA,escolarizado,77.0,74.0,83.0,78.0,79.0,103.0,58.0,179.0,183.0,169.0,182.0,180.0,174.0,174.0,24
