carrera,campus,modalidad,pres26_total,convocados,presc,pct,sel26,selc,pct_admit_2026,pct_admit_control,umbral_final,fuente_umbral
CANTO,FACULTAD DE MÚSICA,escolarizado,33.0,24.0,8.0,33.33333333333333,24.0,6.0,72.72727272727273,75.0,41,2026
CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,escolarizado,30.0,29.0,10.0,34.48275862068966,29.0,8.0,96.66666666666667,80.0,41,2026
ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,escolarizado,21.0,20.0,7.0,35.0,20.0,6.0,95.23809523809523,85.71428571428571,40,2026
ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,escolarizado,31.0,27.0,10.0,37.03703703703704,27.0,8.0,87.09677419354838,80.0,41,2026*
COMPOSICION,FACULTAD DE MÚSICA,escolarizado,46.0,35.0,13.0,37.142857142857146,35.0,13.0,76.08695652173914,100.0,45,2026
ENSEÑANZA DE INGLES COMO LENGUA EXTRANJERA,FES ACATLÁN,suayed,151.0,120.0,45.0,37.5,63.0,42.0,41.72185430463576,93.33333333333333,46,2023
ENFERMERIA,TLAXCALA,escolarizado,81.0,52.0,23.0,44.230769230769226,20.0,19.0,24.691358024691358,82.6086956521739,50,2023
INGENIERIA MECANICA,FES ARAGÓN,escolarizado,791.0,284.0,126.0,44.36619718309859,41.0,41.0,5.183312262958281,32.53968253968254,78,2024
INGENIERIA MECANICA ELECTRICA,FES CUAUTITLÁN,escolarizado,579.0,298.0,133.0,44.63087248322148,107.0,112.0,18.48013816925734,84.21052631578947,60,2023
LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFÍA Y LETRAS,escolarizado,70.0,67.0,30.0,44.776119402985074,70.0,30.0,100.0,100.0,40,2021
INGENIERIA INDUSTRIAL,FES ARAGÓN,escolarizado,548.0,220.0,99.0,45.0,56.0,56.0,10.218978102189782,56.56565656565656,74,2023
INGENIERIA ELECTRICA ELECTRONICA,FES ARAGÓN,escolarizado,510.0,259.0,124.0,47.87644787644788,67.0,69.0,13.137254901960786,55.64516129032258,68,2022
"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,escolarizado,337.0,187.0,90.0,48.1283422459893,92.0,73.0,27.299703264094955,81.11111111111111,57,2023
INGENIERIA PETROLERA,FACULTAD DE INGENIERÍA,escolarizado,447.0,287.0,141.0,49.12891986062718,62.0,63.0,13.870246085011187,44.680851063829785,59,2023
EDUCACION MUSICAL,FACULTAD DE MÚSICA,escolarizado,22.0,18.0,9.0,50.0,18.0,9.0,81.81818181818183,100.0,40,2026
DERECHO,FACULTAD DE DERECHO,suayed,1531.0,1136.0,577.0,50.79225352112676,454.0,469.0,29.653821032005222,81.28249566724438,50,2024
RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,suayed,401.0,288.0,147.0,51.041666666666664,137.0,137.0,34.1645885286783,93.19727891156462,57,2024
PSICOLOGIA,TLAXCALA,escolarizado,66.0,41.0,21.0,51.21951219512195,8.0,15.0,12.121212121212121,71.42857142857143,50,2025
CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,escolarizado,29.0,29.0,15.0,51.724137931034484,29.0,15.0,100.0,100.0,41,2026
INGENIERIA EN TELECOMUNICACIONES,FACULTAD DE INGENIERÍA,escolarizado,199.0,96.0,50.0,52.083333333333336,26.0,26.0,13.06532663316583,52.0,81,2024
INGENIERIA QUIMICA,FES CUAUTITLÁN,escolarizado,234.0,158.0,83.0,52.53164556962025,67.0,67.0,28.63247863247863,80.72289156626506,56,2023
PSICOLOGIA,FES IZTACALA,suayed,2520.0,1423.0,750.0,52.705551651440615,612.0,619.0,24.285714285714285,82.53333333333333,60,2021
RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,escolarizado,974.0,251.0,133.0,52.98804780876494,39.0,49.0,4.004106776180698,36.84210526315789,98,2022
ENSEÑANZA DE INGLES,FES ACATLÁN,escolarizado,133.0,128.0,68.0,53.125,130.0,67.0,97.74436090225564,98.52941176470588,40,2026
INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,escolarizado,35.0,32.0,17.0,53.125,32.0,17.0,91.42857142857143,100.0,41,2026*
DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,escolarizado,18.0,15.0,8.0,53.333333333333336,15.0,8.0,83.33333333333334,100.0,40,2026
MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,escolarizado,33.0,28.0,15.0,53.57142857142857,29.0,11.0,87.87878787878788,73.33333333333333,40,2022
INGENIERIA EN COMPUTACION,FES ARAGÓN,escolarizado,1442.0,461.0,247.0,53.579175704989154,100.0,102.0,6.934812760055478,41.29554655870445,79,2022
ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,escolarizado,15.0,13.0,7.0,53.84615384615385,14.0,7.0,93.33333333333333,100.0,42,2021
INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERÍA,escolarizado,977.0,380.0,205.0,53.94736842105263,80.0,83.0,8.188331627430912,40.487804878048784,85,2022
CONTADURIA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,suayed,1574.0,667.0,360.0,53.973013493253376,202.0,221.0,12.833545108005081,61.38888888888889,76,2024
ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,suayed,1387.0,591.0,322.0,54.483925549915405,182.0,206.0,13.121845710165825,63.975155279503106,73,2024
ECOLOGIA,FES IZTACALA,escolarizado,92.0,53.0,29.0,54.71698113207547,27.0,27.0,29.347826086956523,93.10344827586206,63,2024
ECONOMIA,FACULTAD DE ECONOMÍA,suayed,516.0,423.0,232.0,54.84633569739953,226.0,225.0,43.798449612403104,96.98275862068965,55,2024
INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,escolarizado,399.0,155.0,86.0,55.483870967741936,44.0,44.0,11.027568922305765,51.162790697674424,68,2023
PEDAGOGIA,FACULTAD DE FILOSOFÍA Y LETRAS,abierta,745.0,355.0,198.0,55.774647887323944,51.0,87.0,6.845637583892618,43.93939393939394,62,2021
DISEÑO INDUSTRIAL,FES ARAGÓN,escolarizado,642.0,157.0,88.0,56.05095541401274,26.0,26.0,4.049844236760125,29.545454545454547,85,2022
QUIMICA INDUSTRIAL,FES CUAUTITLÁN,escolarizado,221.0,155.0,87.0,56.12903225806451,65.0,65.0,29.411764705882355,74.71264367816092,53,2023
CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,suayed,331.0,288.0,164.0,56.94444444444444,187.0,154.0,56.49546827794561,93.90243902439023,48,2021
ENSEÑANZA DE ESPAÑOL COMO LENGUA EXTRANJERA,FES ACATLÁN,suayed,51.0,49.0,28.0,57.14285714285714,48.0,28.0,94.11764705882352,100.0,40,2021
RELACIONES INTERNACIONALES,FES ARAGÓN,escolarizado,1124.0,425.0,243.0,57.1764705882353,100.0,103.0,8.896797153024911,42.38683127572017,85,2021
BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,escolarizado,338.0,128.0,74.0,57.8125,29.0,33.0,8.579881656804734,44.5945945945946,80,2022
ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,escolarizado,5958.0,2111.0,1222.0,57.88725722406443,448.0,457.0,7.51930177912051,37.39770867430442,87,2021
ENFERMERIA Y OBSTETRICIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,escolarizado,1593.0,405.0,235.0,58.0246913580247,74.0,75.0,4.645323289391086,31.914893617021278,87,2023
PEDAGOGIA,FES ARAGÓN,escolarizado,1352.0,548.0,318.0,58.02919708029197,138.0,162.0,10.207100591715976,50.943396226415096,66,2021
TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,escolarizado,46.0,43.0,25.0,58.139534883720934,45.0,23.0,97.82608695652173,92.0,40,2022
DISEÑO GRAFICO,FES ACATLÁN,escolarizado,1104.0,156.0,91.0,58.333333333333336,42.0,45.0,3.804347826086957,49.45054945054945,93,2021
INGENIERIA DE MINAS Y METALURGIA,FACULTAD DE INGENIERÍA,escolarizado,101.0,63.0,37.0,58.730158730158735,24.0,24.0,23.762376237623762,64.86486486486487,62,2025
INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,escolarizado,34.0,27.0,16.0,59.25925925925925,27.0,14.0,79.41176470588235,87.5,44,2026*
