carrera,n,median,mean,q1,q3,vmin,vmax
MATEMATICAS,289,89.0,84.48096885813149,70.0,102.0,29,115
MATEMATICAS APLICADAS,147,88.0,83.89795918367346,70.5,101.5,31,115
ACTUARIA,2004,85.0,80.09730538922156,60.0,101.0,0,119
FISICA,723,85.0,81.61410788381743,65.0,100.0,1,119
URBANISMO,106,81.5,76.17924528301887,58.0,96.5,22,111
MEDICO CIRUJANO,22933,81.0,78.07726856495007,54.0,103.0,0,120
TECNOLOGIA,54,79.5,76.18518518518519,64.5,90.25,3,111
INGENIERIA AEROESPACIAL,1073,79.0,77.84249767008387,59.0,98.0,0,119
ECONOMIA,3630,77.0,75.6,58.0,94.0,0,118
INGENIERIA EN TELECOMUNICACIONES,199,77.0,75.79899497487438,56.0,97.0,23,116
FISICA BIOMEDICA,228,76.5,74.52631578947368,56.0,94.25,26,116
CIRUJANO DENTISTA,7305,75.0,73.01916495550992,48.0,97.0,0,119
QUIMICA FARMACEUTICO BIOLOGICA,3473,75.0,73.96199251367693,53.0,96.0,0,119
QUIMICA DE ALIMENTOS,473,75.0,74.1522198731501,55.0,94.0,22,116
TRADUCCION,295,75.0,74.73898305084745,58.5,93.0,21,116
INGENIERIA EN ENERGIAS RENOVABLES,101,75.0,74.62376237623762,66.0,87.0,28,116
LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),96,75.0,73.51041666666667,57.75,88.25,24,110
RELACIONES INTERNACIONALES,3833,74.0,73.01669710409601,54.0,93.0,0,119
INGENIERIA ELECTRICA ELECTRONICA,1759,74.0,72.76861853325754,53.0,93.0,0,119
CONTADURIA,7934,73.0,72.42336778421982,53.0,93.0,0,119
