carrera,campus,modalidad,n,median_delta,pct_baja
NUTRIOLOGIA,FES ZARAGOZA,escolarizado,170,-50.0,97.6470588235294
ENFERMERIA Y OBSTETRICIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,escolarizado,231,-49.0,97.40259740259741
CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,escolarizado,561,-46.0,98.93048128342245
CIRUJANO DENTISTA,FES IZTACALA,escolarizado,661,-46.0,99.09228441754917
ENFERMERIA,FES IZTACALA,escolarizado,397,-46.0,98.74055415617129
MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,escolarizado,426,-46.0,96.47887323943662
MEDICO CIRUJANO,FES ZARAGOZA,escolarizado,471,-46.0,95.54140127388536
MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,escolarizado,433,-45.0,99.53810623556582
CIRUJANO DENTISTA,FES ZARAGOZA,escolarizado,670,-43.0,98.80597014925372
MEDICO CIRUJANO,FES IZTACALA,escolarizado,796,-43.0,98.74371859296483
PSICOLOGIA,FACULTAD DE PSICOLOGÍA,escolarizado,359,-43.0,97.49303621169916
DISEÑO GRAFICO,FES ACATLÁN,escolarizado,90,-42.0,96.66666666666667
ENFERMERIA,FES ZARAGOZA,escolarizado,560,-42.0,98.21428571428571
QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,escolarizado,164,-42.0,99.39024390243902
DISEÑO INDUSTRIAL,FES ARAGÓN,escolarizado,87,-41.0,95.40229885057471
PSICOLOGIA,FES IZTACALA,escolarizado,399,-41.0,98.24561403508771
RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,escolarizado,128,-41.0,98.4375
ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,escolarizado,1196,-40.0,98.57859531772574
ARQUITECTURA,FES ARAGÓN,escolarizado,360,-40.0,99.72222222222223
PSICOLOGIA,FES ZARAGOZA,escolarizado,446,-40.0,97.98206278026906
RELACIONES INTERNACIONALES,FES ACATLÁN,escolarizado,225,-40.0,99.11111111111111
ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,escolarizado,321,-39.0,97.81931464174455
RELACIONES INTERNACIONALES,FES ARAGÓN,escolarizado,240,-39.0,99.16666666666667
CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,escolarizado,225,-38.0,96.0
DERECHO,FACULTAD DE DERECHO,escolarizado,1413,-38.0,98.3722576079264
INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERÍA,escolarizado,195,-38.0,96.41025641025641
OPTOMETRIA,FES IZTACALA,escolarizado,74,-38.0,100.0
ARQUITECTURA,FACULTAD DE ARQUITECTURA,escolarizado,756,-37.0,97.88359788359789
ARQUITECTURA,FES ACATLÁN,escolarizado,278,-37.0,98.92086330935251
INGENIERIA EN COMPUTACION,FES ARAGÓN,escolarizado,244,-36.5,95.08196721311475
DERECHO,FES ARAGÓN,escolarizado,925,-36.0,98.05405405405405
DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,escolarizado,109,-36.0,97.24770642201835
MEDICO CIRUJANO,FACULTAD DE MEDICINA,escolarizado,1093,-36.0,96.52333028362305
PEDAGOGIA,FES ACATLÁN,escolarizado,196,-36.0,98.46938775510205
QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,escolarizado,109,-36.0,100.0
DERECHO,FES ACATLÁN,escolarizado,651,-35.0,97.38863287250385
PEDAGOGIA,FACULTAD DE FILOSOFÍA Y LETRAS,escolarizado,305,-35.0,98.36065573770492
PEDAGOGIA,FES ARAGÓN,escolarizado,317,-35.0,97.79179810725552
ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,escolarizado,68,-34.5,97.05882352941177
INGENIERIA MECANICA,FES ARAGÓN,escolarizado,122,-34.5,95.08196721311475
CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,escolarizado,135,-34.0,99.25925925925925
ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,escolarizado,268,-34.0,99.6268656716418
QUIMICA FARMACEUTICO BIOLOGICA,FACULTAD DE QUÍMICA,escolarizado,222,-34.0,99.09909909909909
INGENIERIA EN COMPUTACION,FACULTAD DE INGENIERÍA,escolarizado,326,-33.5,97.54601226993866
INGENIERIA INDUSTRIAL,FES ARAGÓN,escolarizado,96,-33.5,97.91666666666666
INGENIERIA AMBIENTAL,FACULTAD DE INGENIERÍA,escolarizado,30,-32.5,96.66666666666667
ARTES VISUALES,FACULTAD DE ARTES Y DISEÑO,escolarizado,158,-32.0,97.46835443037975
BIOLOGIA,FES ZARAGOZA,escolarizado,211,-32.0,99.52606635071089
CONTADURIA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,escolarizado,1332,-32.0,98.87387387387388
ADMINISTRACION,FES CUAUTITLÁN,escolarizado,343,-31.0,97.667638483965
BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,escolarizado,73,-31.0,100.0
INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,escolarizado,86,-31.0,96.51162790697676
DISEÑO Y COMUNICACION VISUAL,FES CUAUTITLÁN,escolarizado,80,-30.5,96.25
INGENIERIA CIVIL,FES ACATLÁN,escolarizado,188,-30.5,95.2127659574468
CIENCIAS DE LA COMPUTACION,FACULTAD DE CIENCIAS,escolarizado,117,-30.0,98.29059829059828
BIOLOGIA,FACULTAD DE CIENCIAS,escolarizado,275,-29.0,100.0
FISIOTERAPIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,escolarizado,108,-29.0,96.29629629629629
ECONOMIA,FES ARAGÓN,escolarizado,241,-28.0,97.5103734439834
INGENIERIA EN TELECOMUNICACIONES,FACULTAD DE INGENIERÍA,escolarizado,46,-27.5,97.82608695652173
QUIMICA INDUSTRIAL,FES CUAUTITLÁN,escolarizado,86,-27.5,98.83720930232558
INGENIERIA AGRICOLA,FES CUAUTITLÁN,escolarizado,77,-27.0,100.0
ACTUARIA,FACULTAD DE CIENCIAS,escolarizado,244,-26.0,97.1311475409836
BIOLOGIA,FES IZTACALA,escolarizado,246,-26.0,98.78048780487805
COMUNICACION,FES ACATLÁN,escolarizado,330,-26.0,97.27272727272728
COMUNICACION Y PERIODISMO,FES ARAGÓN,escolarizado,433,-26.0,96.99769053117782
INGENIERIA CIVIL,FES ARAGÓN,escolarizado,224,-26.0,94.19642857142857
INGENIERIA MECANICA,FACULTAD DE INGENIERÍA,escolarizado,231,-26.0,96.96969696969697
RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,abierta,69,-26.0,94.20289855072464
CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,abierta,124,-25.5,95.16129032258065
CONTADURIA,FES CUAUTITLÁN,escolarizado,376,-25.5,96.01063829787235
QUIMICA,FES CUAUTITLÁN,escolarizado,44,-25.5,97.72727272727273
ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,abierta,195,-25.0,96.41025641025641
CONTADURIA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,abierta,261,-25.0,96.55172413793103
ECONOMIA,FACULTAD DE ECONOMÍA,escolarizado,756,-25.0,97.61904761904762
INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,escolarizado,279,-25.0,98.2078853046595
PSICOLOGIA,FACULTAD DE PSICOLOGÍA,abierta,348,-25.0,97.41379310344827
RELACIONES INTERNACIONALES,FES ARAGÓN,abierta,71,-25.0,87.32394366197182
INGENIERIA MECANICA ELECTRICA,FES CUAUTITLÁN,escolarizado,132,-24.5,93.93939393939394
CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,escolarizado,163,-24.0,93.86503067484662
ECONOMIA,FES ACATLÁN,escolarizado,235,-24.0,97.44680851063829
FARMACIA,FES CUAUTITLÁN,escolarizado,112,-24.0,97.32142857142857
INGENIERIA EN ALIMENTOS,FES CUAUTITLÁN,escolarizado,166,-24.0,100.0
INGENIERIA PETROLERA,FACULTAD DE INGENIERÍA,escolarizado,141,-24.0,94.32624113475178
INGENIERIA QUIMICA,FES CUAUTITLÁN,escolarizado,82,-24.0,96.34146341463415
INGENIERIA ELECTRICA ELECTRONICA,FES ARAGÓN,escolarizado,123,-23.0,94.3089430894309
ORTESIS Y PROTESIS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,escolarizado,33,-23.0,96.96969696969697
QUIMICA,FACULTAD DE QUÍMICA,escolarizado,63,-23.0,95.23809523809523
LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,escolarizado,58,-22.5,96.55172413793103
ACTUARIA,FES ACATLÁN,escolarizado,173,-22.0,98.26589595375722
"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,escolarizado,90,-22.0,92.22222222222223
ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,suayed,314,-21.0,95.22292993630573
DERECHO,FES ARAGÓN,abierta,155,-21.0,93.54838709677419
INGENIERIA AEROESPACIAL,FACULTAD DE INGENIERÍA,escolarizado,65,-21.0,96.92307692307692
PEDAGOGIA,FACULTAD DE FILOSOFÍA Y LETRAS,abierta,195,-21.0,92.82051282051282
PSICOLOGIA,FES IZTACALA,suayed,725,-21.0,93.65517241379311
URBANISMO,FACULTAD DE ARQUITECTURA,escolarizado,47,-21.0,91.48936170212765
ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",escolarizado,162,-20.5,82.71604938271605
ANTROPOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,escolarizado,110,-20.0,94.54545454545455
CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,abierta,105,-20.0,88.57142857142857
CONTADURIA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,suayed,355,-20.0,92.95774647887323
ECONOMIA,FACULTAD DE ECONOMÍA,abierta,140,-20.0,95.0
INFORMATICA,FES CUAUTITLÁN,escolarizado,93,-20.0,92.47311827956989
INGENIERIA DE MINAS Y METALURGIA,FACULTAD DE INGENIERÍA,escolarizado,37,-20.0,91.8918918918919
TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",escolarizado,31,-20.0,100.0
DISEÑO Y COMUNICACION VISUAL,FES CUAUTITLÁN,suayed,212,-19.0,95.75471698113208
INGENIERIA ELECTRICA ELECTRONICA,FACULTAD DE INGENIERÍA,escolarizado,247,-19.0,96.35627530364373
INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,escolarizado,39,-19.0,92.3076923076923
INGENIERIA QUIMICA,FACULTAD DE QUÍMICA,escolarizado,86,-19.0,96.51162790697676
PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,escolarizado,58,-19.0,93.10344827586206
DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,escolarizado,46,-18.5,82.6086956521739
DERECHO,FACULTAD DE DERECHO,abierta,400,-18.0,92.25
INGENIERIA QUIMICA,FES ZARAGOZA,escolarizado,152,-18.0,86.18421052631578
OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,escolarizado,35,-18.0,97.14285714285714
PSICOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,escolarizado,53,-18.0,96.22641509433963
RELACIONES INTERNACIONALES,FES ACATLÁN,abierta,88,-18.0,93.18181818181817
TEATRO Y ACTUACION,FACULTAD DE MÚSICA,escolarizado,207,-18.0,95.65217391304348
FILOSOFIA,FACULTAD DE FILOSOFÍA Y LETRAS,escolarizado,71,-17.0,95.77464788732394
SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,escolarizado,110,-17.0,95.45454545454545
SOCIOLOGIA,FES ARAGÓN,escolarizado,95,-17.0,91.57894736842105
HISTORIA,FACULTAD DE FILOSOFÍA Y LETRAS,escolarizado,106,-16.5,94.33962264150944
DERECHO,FACULTAD DE DERECHO,suayed,565,-16.0,87.43362831858407
GEOGRAFIA,FACULTAD DE FILOSOFÍA Y LETRAS,escolarizado,59,-16.0,86.4406779661017
INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,escolarizado,40,-16.0,92.5
INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,escolarizado,31,-16.0,90.32258064516128
