year,fase,tree,modalidad,area,carrera,campus,codigo,oferta,aspirantes,presentaron_examen,aciertos_minimos,seleccionados
2026,control,licenciatura,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,70,389,251,92,86
2026,control,licenciatura,escolarizado,1,ACTUARIA,FES ACATLÁN,10102005,51,267,175,85,58
2026,control,licenciatura,escolarizado,1,ARQUITECTURA,FACULTAD DE ARQUITECTURA,10200015,250,1182,775,75,281
2026,control,licenciatura,escolarizado,1,ARQUITECTURA,FES ACATLÁN,10202005,86,449,283,61,112
2026,control,licenciatura,escolarizado,1,ARQUITECTURA,FES ARAGÓN,10204005,95,608,365,65,106
2026,control,licenciatura,escolarizado,1,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,10300015,25,97,70,64,28
2026,control,licenciatura,escolarizado,1,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,13307005,44,20,15,40,15
2026,control,licenciatura,escolarizado,1,CIENCIAS DE LA COMPUTACION,FACULTAD DE CIENCIAS,10400035,40,175,121,88,49
2026,control,licenciatura,escolarizado,1,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,12700175,55,71,49,40,48
2026,control,licenciatura,escolarizado,1,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,12710005,35,41,33,40,33
2026,control,licenciatura,escolarizado,1,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,12708005,28,8,4,43,4
2026,control,licenciatura,escolarizado,1,DISEÑO INDUSTRIAL,FES ARAGÓN,10504005,23,160,88,69,26
2026,control,licenciatura,escolarizado,1,FISICA,FACULTAD DE CIENCIAS,10600035,80,136,108,83,91
2026,control,licenciatura,escolarizado,1,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,13400035,13,37,25,81,15
2026,control,licenciatura,escolarizado,1,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,13107005,40,20,17,50,15
2026,control,licenciatura,escolarizado,1,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,13001005,90,188,90,40,73
2026,control,licenciatura,escolarizado,1,INGENIERIA AEROESPACIAL,FACULTAD DE INGENIERÍA,13900115,13,91,65,96,26
2026,control,licenciatura,escolarizado,1,INGENIERIA AMBIENTAL,FACULTAD DE INGENIERÍA,13700115,19,45,32,69,19
2026,control,licenciatura,escolarizado,1,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,10700115,130,478,286,73,137
2026,control,licenciatura,escolarizado,1,INGENIERIA CIVIL,FES ACATLÁN,10702005,104,306,191,51,106
2026,control,licenciatura,escolarizado,1,INGENIERIA CIVIL,FES ARAGÓN,10704005,142,380,225,49,145
2026,control,licenciatura,escolarizado,1,INGENIERIA DE MINAS Y METALURGIA,FACULTAD DE INGENIERÍA,10800115,24,63,37,53,24
