year,fase,modalidad,area,carrera,campus,codigo,numero_comprobante,aciertos,acreditado,detalles
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,000336,90,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,000538,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,000546,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,000605,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,000625,73,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,000899,87,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001157,55,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001171,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001283,58,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001413,55,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001493,53,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001503,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001506,99,S,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001580,,S,Cita para aclarar situación escolar.
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001581,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001592,91,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001607,79,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001673,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001737,106,S,Cita para entregar documentación.
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001793,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001827,67,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,001896,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002017,85,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002150,88,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002164,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002292,92,S,Cita para entregar documentación.
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002312,71,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002323,82,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002352,73,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002646,108,S,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002690,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002713,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002927,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,002991,51,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003033,108,S,Cita para entregar documentación.
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003174,104,S,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003252,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003278,90,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003330,99,S,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003351,96,S,Cita para entregar documentación.
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003381,109,S,Cita para entregar documentación.
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003651,95,S,Cita para entregar documentación.
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003708,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003734,37,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003750,81,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003787,61,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003794,102,S,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003853,38,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003889,100,S,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,003965,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,004190,42,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,004268,59,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,004299,79,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,004304,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,004368,73,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,004486,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,004516,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,004624,97,S,Cita para entregar documentación.
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,004893,85,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005207,57,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005228,,S,Cita para aclarar situación escolar.
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005319,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005366,43,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005480,70,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005498,52,,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005512,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005520,107,S,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005545,101,S,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005736,,N,
2026,control,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,005804,,N,
